parent_company,sector,total_scope1_emissions_mtco2e,facility_count
CITY OF SANTA CLARA CALIFORNIA,Utilities,379656.0,1
ERGON INC,Energy; Chemicals/Materials,378630.5,3
INEOS PIGMENTS USA INC,Chemicals/Materials,378293.0,2
CLEARWAY ENERGY INC,Utilities,376846.0,3
AEIF BIRDSBORO LLC,Utilities,371343.86,1
SOJITZ BIRDSBORO LLC,Utilities,371343.86,1
TOKYO GAS AMERICA LTD,Utilities,371343.86,1
TOYOTA TSUSHO AMERICA INC,Utilities,363543.6,1
Captial Power (US Holdings) Inc,Utilities,355413.55,1
BIRLA CARBON USA INC,Chemicals/Materials,354878.0,2
LOUISIANA ENERGY & POWER AUTHORITY,Utilities,353954.58,2
PUGET SOUND ENERGY INC,Utilities,353287.45,1
RAUSCH CREEK ELECTRIC POWER HOLDINGS LLC,Utilities,352869.0,1
GREENIDGE GENERATION HOLDINGS LLC,Utilities,352625.0,1
CORN BELT POWER COOPERATIVE,Utilities,344733.05,3
UAMPS,Utilities,344442.0,1
ESSENTIAL POWER LLC,Utilities,342951.0,1
OPTIM ENERGY LLC,Utilities,339429.0,1
NAUTILUS POWER LLC,Utilities,339293.8,3
ROSE CAPITAL INVESTMENT INC,Utilities,337450.44,1
CONCORD INFRASTRUCTURE INVESTMENT LLC,Utilities,336945.25,1
CSTN HOLDINGS INC,Chemicals/Materials,332073.0,1
EIF PANOCHE LLC,Utilities,325467.0,1
FJ MANAGEMENT INC,Energy,323629.0,1
TRONOX INC,Chemicals/Materials,322671.0,1
NUTRIEN US CORP A INC,Chemicals/Materials,321374.0,1
VEOLIA ENVIRONMENTAL SERVICES NORTH AMERICA CORP,Utilities,321365.0,1
INDECK ENERGY SERVICES INC,Utilities,315894.0,5
PUBLIC UTILITIES BOARD OF THE CITY OF BROWNSVILLE TEXAS,Utilities,312091.02,2
COVANTA HOLDING CORP,Utilities,306204.0,1
CHEVRON USA INC,Energy,299823.0,1
KMC THERMO LLC,Utilities,298669.0,1
HOLY CROSS ELECTRIC ASSOC INC,Utilities,292939.91,1
UGI CORP,Utilities,288627.0,2
SOUTH TEXAS ELECTRIC COOPERATIVE INC,Utilities,286303.0,2
