Data Extracted from EPA's FLIGHT Tool (http://ghgdata.epa.gov/ghgp),,,,,,,,,,,,
The data was reported to EPA by facilities as of 08/16/2024,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4,,,,,,,,,,,,
Search Parameters: year=2023; GHGs=ALL; data type=All Direct Emitters; ,,,,,,,,,,,,
,,,,,,,,,,,,
REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2023,Air Products West coast Hydrogen - HP-2,1014324,1915 Shell Avenue,38.01767958,-122.1185926,Martinez,,CA,94553,AIR PRODUCTS & CHEMICALS INC (100%),322459,P
2023,Air Products and Chemicals - Norco SMR,1011460,14885 Airline Drive,30.0169,-90.40874,Norco,ST. CHARLES PARISH,LA,70079,AIR PRODUCTS & CHEMICALS INC (100%),1102168,P
2023,Air Products and Chemicals Inc. Luling SMR Facility,1010506,12501 River Road B,29.93061,-90.34702,Luling,ST. CHARLES PARISH,LA,70070,AIR PRODUCTS & CHEMICALS INC (100%),861624,P
2023,Air Products and Chemicals Inc./Detroit Hydrogen Facility Marathon Refinery,1010625,1025 Oakwood Blvd,42.28689,-83.15642,Detroit,WAYNE COUNTY,MI,48217,AIR PRODUCTS & CHEMICALS INC (100%),386199,P
2023,"Air Products and Chemicals, Inc. - BR SMR",1004586,2 Gulf States Utility Rd,30.488192,-91.164097,"Baton Rouge, La",EAST BATON ROUGE PARISH,LA,70805,AIR PRODUCTS & CHEMICALS INC (100%),916362,P
2023,"Air Products and Chemicals, Inc. - Joliet, IL H2 Plant",1005852,25915 S.E. Frontage Road (c/o ExxonMobil),41.417473,-88.216903,Channahon,WILL COUNTY,IL,60410,AIR PRODUCTS & CHEMICALS INC (100%),94357,P
2023,Airgas Therapeutics LLC - Scott Medical Products,1004725,6141 Easton Road Bldg. #3,40.384845,-75.146286,Plumsteadville,BUCKS COUNTY,PA,18949,AIRGAS INC (100%),2299,"L,OO"
2023,"Ajinomoto Health & Nutrition NA, Inc.",1014866,4020 Ajinomoto Drive,35.77127,-78.56609,Raleigh,WAKE COUNTY,NC,27610,AJINOMOTO HEALTH & NUTRITION NORTH AMERICA INC (100%),27664,C
2023,"Alaska Village Electric Cooperative, Inc.",1010937,4831 Eagle Street,61.17697,-149.87559,Anchorage,ANCHORAGE MUNICIPALITY,AK,99503,ALASKA VILLAGE ELECTRIC COOPERATIVE (100%),31213,C
2023,Albany Green Energy,1012844,508 Liberty Expressway SE,31.443122,-84.118617,Albany,DOUGHERTY COUNTY,GA,31705,ALBANY GREEN ENERGY LLC (100%),11245,D
2023,"Alcon Vision, LLC",1003448,6201 SOUTH FREEWAY,32.65733,-97.32096,FORT WORTH,TARRANT COUNTY,TX,76134,ALCON LABORATORIES INC (100%),23131,C
2023,Alex Ty Cooke Generating Station,1000955,3500 E SLATON HWY,33.5211,-101.7906,LUBBOCK,Lubbock,TX,79404,CITY OF LUBBOCK TEXAS TEXAS (100%),3524,"C,D"
2023,"Algonquin Power Sanger, LLC",1005044,1125 Muscat Avenue,36.685049,-119.55225,Sanger,FRESNO COUNTY,CA,93657,ALGONQUIN POWER SANGER LLC (100%),8237,"C,D"
2023,"Algonquin Power Windsor Locks, LLC",1006409,26 CANAL BANK RD,41.9227,-72.6255,WINDSOR LOCKS,Hartford,CT,6096,ALGONQUIN POWER WINDSOR LOCKS LLC (100%),87638,"C,D"
2023,Allegany Generating Station,1001217,11537 ROUTE 19A,42.5083,-78.0661,Portageville,Allegany,NY,14536,ALLIANCE ENERGY GROUP LLC (100%),5778,"C,D"
2023,Allen,1000916,2574 PLANT RD,35.0742,-90.1439,MEMPHIS,Shelby,TN,38109,US GOVERNMENT (%),1939893,"C,D"
2023,Allen S King,1000691,1103 KING PLANT RD,45.03,-92.7786,OAK PARK HEIGHTS,Washington,MN,55003,XCEL ENERGY INC (100%),998891,"C,D"
2023,Almond Power Plant,1007315,4500 CROWS LANDING ROAD,37.5739,-120.9854,MODESTO,Stanislaus,CA,95358,TURLOCK IRRIGATION DISTRICT EMPLOYEES ASSOC (100%),106078,D
2023,Alpaca Energy LLC,1013070,220 Romaine Ln.,41.663988,-76.808492,Canton,BRADFORD COUNTY,PA,17724,ALPACA ENERGY LLC (100%),25541,C
2023,Alpine Power Plant,1012152,7432 M-32,45.063748,-84.825348,Elmira,OTSEGO COUNTY,MI,49730,WOLVERINE POWER SUPPLY COOPERATIVE INC (100%),481753,"C,D"
2023,Alpont LLC,1013088,4112 Corduroy Rd,41.65919,-83.45071,Oregon,LUCAS COUNTY,OH,43616,ALPONT LLC (100%),73769,"C,X"
2023,Alsey Station,1000417,331 Campbell Road,39.5697,-90.4362,ALSEY,Scott,IL,62694,PRAIRIE POWER INC (100%),11569,"C,D"
2023,Ames,1005802,200 E 5TH ST,42.0247,-93.6069,AMES,Story,IA,50010,CITY OF AMES IOWA (100%),236925,D
2023,Anadarko,1000865,701 B NE 7TH ST,35.0847,-98.23,ANADARKO,Caddo,OK,73005,WESTERN FARMERS ELECTRIC COOPERATIVE (100%),527567,"C,D"
2023,Anclote Power Plant,1007246,1729 BAILLIES BLUFF ROAD,28.1844,-82.7887,HOLIDAY,Pasco,FL,34691,DUKE ENERGY CORP (100%),1149387,"C,D"
2023,Angus Anson,1001097,7100 EAST RICE ST,43.6033,-96.6369,SIOUX FALLS,Minnehaha,SD,57101,XCEL ENERGY INC (100%),161253,"C,D"
2023,Antelope Station,1006652,1454 CR 315,33.866995,-101.866362,ABERNATHY,HALE COUNTY,TX,79311,GOLDEN SPREAD ELECTRIC COOPERATIVE INC (100%),125720,C
2023,Antelope Valley,1001055,HWY 200,47.3714,-101.8344,BEULAH,Mercer,ND,58523,BASIN ELECTRIC POWER COOPERATIVE (100%),5389116,D
2023,Apache Station,1005949,3525 N US HWY 191,32.0619,-109.8931,COCHISE,Cochise,AZ,85606,ARIZONA ELECTRIC POWER COOPERATIVE INC (100%),1458091,"C,D"
